customer_id,customer_name,gender,age,city,state,signup_date,customer_segment
29,Rahul Roy,Male,36,Hyderabad,Karnataka,2025-05-12,Consumer
30,Neha Mehta,Female,65,Chennai,Karnataka,2024-02-05,Premium
31,Aditya Patel,Female,44,Jaipur,Assam,2023-11-21,Corporate
32,Priya Taylor,Male,48,Kolkata,Assam,2025-01-08,Premium
33,Vikram Patel,Male,66,Bengaluru,Assam,2022-05-12,Consumer
34,Sara Singh,Female,22,Chennai,Assam,2023-11-25,Corporate
35,Neha Taylor,Male,56,Bengaluru,Rajasthan,2024-12-23,Consumer
36,Arjun Roy,Male,26,Mumbai,Tamil Nadu,2025-01-25,Consumer
37,Meera Brown,Male,63,Mumbai,Tamil Nadu,2023-04-16,Small Business
38,Aditi Das,Female,61,Imphal,Assam,2023-05-16,Small Business
39,Arjun Wilson,Male,47,Chennai,Telangana,2022-09-08,Corporate
40,Ananya Smith,Female,32,Imphal,Rajasthan,2022-01-09,Small Business
41,Aditi Singh,Male,23,Bengaluru,Delhi,2025-03-03,Premium
42,Arjun Singh,Female,33,Imphal,Assam,2025-05-22,Small Business
43,Arjun Das,Female,39,Hyderabad,Delhi,2024-03-31,Consumer
44,Aditya Smith,Female,68,Delhi,Assam,2025-02-03,Consumer
45,Aarav Taylor,Male,56,Guwahati,Rajasthan,2022-10-23,Consumer
46,Vikram Singh,Male,55,Mumbai,Assam,2024-10-14,Consumer
47,Aarav Singh,Male,47,Jaipur,Maharashtra,2025-01-08,Consumer
48,Isha Mehta,Female,50,Hyderabad,Assam,2025-07-02,Consumer
49,Rahul Sharma,Male,27,Chennai,Maharashtra,2022-08-11,Small Business
50,Aditya Mehta,Female,45,Guwahati,Tamil Nadu,2023-09-03,Consumer
51,Kabir Das,Female,48,Chennai,Karnataka,2023-09-28,Consumer
52,Aarav Gupta,Female,32,Delhi,Maharashtra,2023-11-24,Premium
53,Aditya Sharma,Male,42,Delhi,Maharashtra,2023-02-01,Consumer
54,Vikram Sharma,Male,47,Chennai,Telangana,2024-06-04,Consumer
55,Vivaan Das,Other,60,Chennai,Assam,2022-01-30,Consumer
56,Neha Taylor,Female,28,Mumbai,Manipur,2025-10-31,Corporate
57,Rohan Sharma,Female,44,Jaipur,Assam,2025-07-05,Premium
58,Sara Wilson,Male,37,Mumbai,Maharashtra,2025-12-09,Consumer
59,Aditya Patel,Male,40,Bengaluru,Karnataka,2025-02-24,Consumer
60,Priya Das,Male,67,Imphal,Assam,2022-01-16,Consumer
61,Ananya Smith,Female,35,Kolkata,Rajasthan,2022-04-07,Consumer
62,Sara Mehta,Male,48,Imphal,Maharashtra,2025-02-07,Consumer
63,Isha Singh,Female,26,Kolkata,Telangana,2024-09-07,Consumer
64,Meera Taylor,Male,21,Kolkata,Manipur,2024-04-06,Small Business
65,Vikram Smith,Male,23,Mumbai,Manipur,2022-07-09,Small Business
66,Arjun Singh,Male,32,Hyderabad,Assam,2023-03-21,Small Business
67,Arjun Brown,Female,55,Hyderabad,Telangana,2025-01-13,Small Business
68,Meera Wilson,Male,43,Guwahati,West Bengal,2024-05-22,Consumer
69,Arjun Patel,Male,52,Chennai,Delhi,2022-01-12,Consumer
70,Neha Kumar,Female,49,Guwahati,Rajasthan,2025-02-28,Small Business
71,Ananya Patel,Female,63,Mumbai,Telangana,2023-09-13,Small Business
72,Rohan Kumar,Female,43,Chennai,Karnataka,2023-11-19,Consumer
73,Rahul Mehta,Male,28,Kolkata,Maharashtra,2025-01-02,Consumer
74,Aditi Das,Male,58,Delhi,Karnataka,2023-11-17,Consumer
75,Vikram Kumar,Male,21,Chennai,West Bengal,2024-02-19,Corporate
76,Meera Gupta,Male,30,Kolkata,Karnataka,2022-09-13,Small Business
77,Kavya Brown,Male,18,Mumbai,Karnataka,2024-01-09,Corporate
78,Rohan Smith,Female,49,Bengaluru,West Bengal,2023-10-07,Consumer
79,Ananya Das,Male,42,Hyderabad,Maharashtra,2022-02-10,Consumer
80,Ananya Singh,Female,56,Chennai,Karnataka,2025-04-12,Consumer
81,Ananya Wilson,Female,42,Pune,Tamil Nadu,2025-08-17,Small Business
82,Vivaan Patel,Male,50,Jaipur,West Bengal,2025-12-08,Consumer
83,Kabir Taylor,Female,23,Mumbai,Telangana,2023-10-12,Consumer
84,Isha Brown,Female,20,Bengaluru,Assam,2025-02-08,Consumer
85,Sara Das,Female,22,Hyderabad,Manipur,2025-09-25,Premium
86,Arjun Roy,Female,49,Bengaluru,West Bengal,2024-10-22,Corporate
87,Priya Mehta,Male,61,Pune,Telangana,2022-05-24,Consumer
88,Aditi Brown,Male,67,Delhi,Assam,2024-10-22,Corporate
89,Sara Kumar,Female,36,Guwahati,Delhi,2023-11-21,Small Business
90,Aditya Patel,Female,26,Delhi,Telangana,2025-12-20,Consumer
91,Priya Kumar,Female,31,Kolkata,West Bengal,2023-11-06,Premium
92,Kabir Singh,Male,39,Bengaluru,Maharashtra,2022-05-23,Small Business
93,Vikram Patel,Female,43,Imphal,Telangana,2024-01-18,Small Business
94,Aarav Smith,Female,35,Delhi,Manipur,2024-08-18,Corporate
95,Neha Taylor,Male,53,Jaipur,Telangana,2023-07-04,Corporate
96,Aarav Gupta,Female,31,Imphal,Maharashtra,2025-10-16,Premium
97,Kabir Wilson,Other,54,Delhi,Delhi,2025-02-15,Consumer
98,Vikram Roy,Female,21,Guwahati,Karnataka,2025-09-02,Corporate
99,Priya Wilson,Female,45,Chennai,Delhi,2025-05-14,Corporate
100,Vikram Roy,Male,49,Kolkata,West Bengal,2022-08-10,Corporate
101,Meera Smith,Male,55,Imphal,Rajasthan,2024-04-22,Corporate
102,Aditya Taylor,Female,21,Jaipur,Assam,2025-07-19,Consumer
103,Rohan Das,Male,65,Guwahati,Tamil Nadu,2024-02-02,Corporate
104,Rohan Roy,Female,40,Bengaluru,Maharashtra,2022-11-15,Small Business
105,Rahul Wilson,Male,18,Hyderabad,Manipur,2022-04-08,Consumer
106,Aarav Brown,Female,43,Mumbai,Assam,2023-06-30,Small Business
107,Rahul Taylor,Male,31,Imphal,Rajasthan,2025-05-24,Corporate
108,Rahul Singh,Female,63,Delhi,West Bengal,2022-10-09,Consumer
109,Isha Gupta,Male,43,Pune,Maharashtra,2023-10-22,Consumer
110,Isha Roy,Female,38,Guwahati,Assam,2024-03-07,Premium
111,Rohan Taylor,Female,62,Jaipur,Assam,2023-05-09,Corporate
112,Rahul Brown,Female,56,Mumbai,Manipur,2024-01-20,Consumer
113,Ananya Gupta,Female,66,Bengaluru,Assam,2025-01-07,Consumer
114,Meera Smith,Female,38,Pune,Karnataka,2023-09-15,Corporate
115,Vivaan Wilson,Male,48,Chennai,Tamil Nadu,2024-11-12,Consumer
116,Isha Taylor,Female,51,Hyderabad,Assam,2022-09-22,Consumer
117,Vivaan Das,Male,24,Bengaluru,Tamil Nadu,2024-01-22,Consumer
118,Rohan Smith,Male,49,Guwahati,Assam,2023-06-17,Corporate
119,Vikram Wilson,Male,50,Mumbai,Maharashtra,2024-07-11,Small Business
120,Aditi Singh,Female,37,Kolkata,Maharashtra,2023-02-25,Consumer
121,Kabir Das,Female,60,Jaipur,Tamil Nadu,2023-01-04,Premium
122,Vikram Smith,Female,25,Guwahati,Assam,2022-12-28,Consumer
123,Isha Das,Male,44,Mumbai,Rajasthan,2022-01-07,Small Business
124,Aditi Wilson,Other,26,Bengaluru,Delhi,2023-10-09,Corporate
125,Rahul Roy,Female,35,Bengaluru,West Bengal,2024-09-15,Consumer
126,Isha Patel,Male,19,Chennai,Karnataka,2025-05-30,Small Business
127,Meera Taylor,Male,65,Delhi,Tamil Nadu,2022-05-23,Corporate
128,Rahul Sharma,Male,40,Pune,Tamil Nadu,2025-08-22,Corporate
129,Kavya Sharma,Female,39,Kolkata,Assam,2022-08-18,Small Business
130,Rahul Wilson,Female,34,Imphal,Assam,2024-05-08,Consumer
131,Rahul Patel,Male,21,Bengaluru,Maharashtra,2023-07-20,Consumer
132,Aarav Sharma,Male,57,Chennai,Delhi,2022-05-24,Consumer
133,Ananya Singh,Other,25,Hyderabad,Delhi,2025-08-02,Premium
134,Vikram Brown,Female,49,Kolkata,Assam,2025-06-12,Small Business
135,Rahul Taylor,Female,21,Guwahati,Maharashtra,2023-02-11,Small Business
136,Isha Mehta,Female,43,Pune,Maharashtra,2025-01-11,Consumer
137,Ananya Gupta,Female,64,Chennai,Telangana,2024-12-03,Corporate
138,Kavya Kumar,Female,30,Guwahati,Delhi,2025-11-28,Consumer
139,Rahul Sharma,Female,18,Delhi,Karnataka,2024-09-16,Small Business
140,Rahul Roy,Female,34,Hyderabad,Karnataka,2022-04-14,Corporate
141,Aditi Wilson,Female,45,Guwahati,Karnataka,2025-10-26,Small Business
142,Vikram Patel,Male,67,Delhi,West Bengal,2024-02-01,Consumer
143,Rohan Kumar,Female,21,Guwahati,Tamil Nadu,2024-04-01,Premium
144,Ananya Patel,Female,35,Mumbai,Karnataka,2022-04-09,Consumer
145,Ananya Mehta,Male,68,Chennai,Telangana,2022-02-14,Consumer
146,Rahul Singh,Male,44,Hyderabad,West Bengal,2025-08-11,Consumer
147,Ananya Gupta,Female,42,Kolkata,Delhi,2025-03-10,Consumer
148,Isha Wilson,Female,67,Mumbai,Delhi,2025-08-12,Consumer
149,Kavya Das,Male,29,Guwahati,Manipur,2025-07-09,Premium
150,Vivaan Wilson,Female,35,Mumbai,West Bengal,2022-03-22,Consumer
151,Sara Singh,Female,20,Imphal,Delhi,2025-07-10,Consumer
152,Vikram Gupta,Male,55,Delhi,West Bengal,2022-05-24,Consumer
153,Rahul Taylor,Female,30,Kolkata,Rajasthan,2023-08-11,Premium
154,Isha Sharma,Female,42,Kolkata,Karnataka,2022-09-24,Premium
155,Vivaan Wilson,Male,43,Guwahati,Karnataka,2023-11-29,Consumer
156,Neha Das,Male,39,Jaipur,Delhi,2023-09-28,Corporate
157,Vivaan Das,Male,39,Bengaluru,Assam,2024-01-28,Consumer
158,Rahul Smith,Male,51,Delhi,Manipur,2024-05-28,Consumer
159,Arjun Das,Male,57,Hyderabad,Tamil Nadu,2024-02-25,Corporate
160,Rohan Brown,Female,19,Pune,Assam,2025-04-09,Small Business
161,Vikram Roy,Male,60,Mumbai,Maharashtra,2025-01-18,Small Business
162,Aarav Smith,Female,29,Mumbai,West Bengal,2022-05-15,Corporate
163,Sara Wilson,Male,33,Bengaluru,Rajasthan,2022-06-15,Small Business
164,Aditi Taylor,Female,35,Delhi,Delhi,2023-03-01,Small Business
165,Kavya Wilson,Female,68,Mumbai,Delhi,2022-05-19,Premium
166,Vivaan Mehta,Female,52,Jaipur,Assam,2025-03-12,Corporate
167,Aditya Patel,Male,32,Hyderabad,Assam,2023-06-20,Small Business
168,Vikram Smith,Female,27,Bengaluru,Telangana,2022-10-21,Consumer
169,Meera Roy,Male,33,Jaipur,West Bengal,2023-05-05,Consumer
170,Rohan Taylor,Male,57,Chennai,West Bengal,2022-02-28,Consumer
171,Rohan Smith,Male,47,Delhi,Manipur,2024-11-12,Corporate
172,Meera Gupta,Female,41,Pune,Assam,2023-01-24,Consumer
173,Aarav Taylor,Male,28,Mumbai,Maharashtra,2024-10-26,Consumer
174,Kavya Brown,Female,61,Jaipur,West Bengal,2024-02-15,Consumer
175,Arjun Das,Male,67,Delhi,Tamil Nadu,2025-11-14,Corporate
176,Kabir Brown,Female,65,Chennai,Rajasthan,2023-01-30,Premium
177,Kabir Kumar,Female,68,Imphal,West Bengal,2022-07-06,Consumer
178,Sara Wilson,Male,44,Hyderabad,Manipur,2023-01-30,Corporate
179,Meera Patel,Male,33,Hyderabad,Rajasthan,2022-05-04,Small Business
180,Kabir Roy,Female,65,Hyderabad,Telangana,2024-01-16,Consumer
181,Kabir Singh,Male,48,Bengaluru,Karnataka,2023-05-12,Corporate
182,Aditi Gupta,Female,35,Delhi,Manipur,2025-09-04,Corporate
183,Rohan Roy,Female,59,Kolkata,Karnataka,2022-07-10,Consumer
184,Aditi Mehta,Male,66,Bengaluru,Rajasthan,2022-12-07,Corporate
185,Meera Das,Male,63,Pune,West Bengal,2025-01-23,Consumer
186,Priya Smith,Male,54,Guwahati,Rajasthan,2022-05-08,Corporate
187,Neha Taylor,Female,23,Kolkata,Telangana,2022-06-14,Corporate
188,Arjun Mehta,Female,52,Mumbai,Maharashtra,2022-11-12,Consumer
189,Ananya Kumar,Female,49,Hyderabad,Manipur,2024-02-16,Consumer
190,Aditya Brown,Male,62,Mumbai,Delhi,2022-02-19,Consumer
191,Aarav Gupta,Male,45,Jaipur,Tamil Nadu,2024-09-17,Consumer
192,Rahul Gupta,Male,48,Pune,Telangana,2025-04-08,Premium
193,Rohan Singh,Female,65,Kolkata,Karnataka,2023-04-11,Small Business
194,Aditya Gupta,Male,25,Mumbai,Karnataka,2024-11-10,Consumer
195,Ananya Gupta,Female,22,Mumbai,Rajasthan,2025-05-04,Consumer
196,Meera Mehta,Other,25,Imphal,Karnataka,2022-03-20,Small Business
197,Arjun Wilson,Male,39,Bengaluru,Tamil Nadu,2022-05-31,Premium
198,Aditya Patel,Male,64,Chennai,Maharashtra,2023-01-14,Corporate
199,Meera Roy,Female,58,Pune,Manipur,2024-11-04,Consumer
200,Aarav Taylor,Female,20,Jaipur,Manipur,2023-01-05,Corporate
201,Isha Singh,Female,51,Guwahati,Telangana,2024-08-29,Premium
202,Ananya Sharma,Female,49,Hyderabad,Assam,2024-03-13,Premium
203,Vikram Brown,Male,33,Imphal,Assam,2022-09-07,Consumer
204,Rahul Singh,Female,49,Delhi,West Bengal,2025-08-21,Consumer
205,Aarav Wilson,Male,65,Chennai,Tamil Nadu,2024-08-27,Small Business
206,Meera Sharma,Female,29,Mumbai,West Bengal,2025-10-18,Consumer
207,Vivaan Patel,Female,55,Bengaluru,Telangana,2023-06-18,Consumer
208,Aditya Roy,Female,33,Pune,Delhi,2025-03-28,Consumer
209,Sara Taylor,Female,21,Chennai,Rajasthan,2024-08-28,Consumer
210,Kabir Das,Male,24,Chennai,Tamil Nadu,2023-07-21,Premium
211,Vikram Sharma,Female,32,Hyderabad,Telangana,2025-01-21,Corporate
212,Priya Singh,Male,37,Pune,West Bengal,2025-12-14,Small Business
213,Isha Sharma,Female,19,Bengaluru,Karnataka,2022-01-15,Consumer
214,Sara Mehta,Female,31,Mumbai,Karnataka,2022-11-25,Premium
215,Kavya Taylor,Female,57,Delhi,Manipur,2024-01-26,Consumer
216,Rohan Gupta,Male,32,Hyderabad,Maharashtra,2023-03-04,Premium
217,Aditi Taylor,Male,51,Hyderabad,Rajasthan,2022-02-16,Consumer
218,Neha Wilson,Male,39,Bengaluru,Delhi,2023-11-16,Corporate
219,Arjun Brown,Female,51,Hyderabad,Tamil Nadu,2025-02-25,Premium
220,Aditya Brown,Male,59,Hyderabad,Rajasthan,2024-08-23,Corporate
221,Meera Mehta,Female,48,Mumbai,Manipur,2025-10-13,Consumer
222,Neha Wilson,Female,20,Guwahati,Rajasthan,2024-11-19,Corporate
223,Kabir Taylor,Female,31,Imphal,Rajasthan,2024-07-06,Consumer
224,Rohan Wilson,Female,25,Hyderabad,Tamil Nadu,2022-11-11,Small Business
225,Neha Mehta,Female,47,Hyderabad,Manipur,2024-05-31,Consumer
226,Arjun Singh,Female,45,Pune,Tamil Nadu,2025-01-17,Small Business
227,Vikram Gupta,Female,31,Jaipur,Tamil Nadu,2023-03-12,Small Business
228,Arjun Kumar,Male,30,Chennai,Maharashtra,2024-05-17,Consumer
229,Isha Patel,Female,42,Hyderabad,Manipur,2024-11-01,Consumer
230,Kabir Singh,Male,53,Kolkata,Delhi,2025-03-04,Small Business
231,Priya Sharma,Male,50,Jaipur,Maharashtra,2022-10-10,Consumer
232,Kabir Gupta,Male,46,Pune,Rajasthan,2023-12-08,Consumer
233,Priya Gupta,Female,61,Delhi,West Bengal,2024-09-08,Consumer
234,Isha Das,Female,33,Kolkata,Telangana,2025-11-26,Small Business
235,Vikram Roy,Male,38,Chennai,West Bengal,2024-01-18,Premium
236,Ananya Roy,Female,34,Chennai,Telangana,2022-09-17,Consumer
237,Aditya Taylor,Female,69,Jaipur,Delhi,2025-07-25,Consumer
238,Neha Sharma,Female,60,Pune,Manipur,2024-06-10,Consumer
239,Neha Das,Male,34,Jaipur,West Bengal,2022-06-03,Consumer
240,Rohan Taylor,Male,23,Hyderabad,Tamil Nadu,2025-09-29,Consumer
241,Rahul Taylor,Male,18,Bengaluru,Tamil Nadu,2022-03-18,Corporate
242,Kavya Smith,Female,39,Chennai,Assam,2024-02-27,Consumer
243,Aditya Patel,Female,62,Delhi,West Bengal,2022-07-31,Small Business
244,Ananya Patel,Male,37,Kolkata,Assam,2025-08-11,Consumer
245,Ananya Gupta,Male,25,Jaipur,West Bengal,2025-04-09,Corporate
246,Priya Das,Female,34,Pune,Karnataka,2024-08-29,Consumer
247,Vikram Mehta,Male,53,Chennai,Rajasthan,2022-08-05,Consumer
248,Neha Gupta,Male,66,Jaipur,Delhi,2023-01-14,Consumer
249,Vivaan Smith,Male,50,Bengaluru,West Bengal,2024-06-14,Premium
250,Aditya Singh,Female,49,Jaipur,Tamil Nadu,2022-01-30,Corporate
251,Ananya Mehta,Female,25,Hyderabad,West Bengal,2023-10-23,Small Business
252,Aditya Taylor,Male,39,Pune,Maharashtra,2022-12-31,Small Business
253,Aarav Smith,Female,67,Kolkata,Telangana,2024-11-25,Premium
254,Vikram Sharma,Female,44,Pune,Telangana,2025-01-22,Consumer
255,Neha Sharma,Male,45,Delhi,Manipur,2023-01-10,Corporate
256,Ananya Wilson,Female,40,Guwahati,Karnataka,2022-02-16,Consumer
257,Sara Mehta,Male,27,Chennai,Delhi,2023-12-28,Premium
258,Rohan Patel,Male,43,Imphal,Delhi,2023-01-21,Small Business
259,Vikram Brown,Female,41,Hyderabad,Maharashtra,2025-10-25,Consumer
260,Aditya Patel,Female,29,Pune,West Bengal,2025-12-12,Small Business
261,Rohan Singh,Male,62,Delhi,Delhi,2024-07-05,Consumer
262,Ananya Kumar,Female,55,Delhi,Tamil Nadu,2024-08-05,Consumer
263,Isha Gupta,Male,46,Delhi,Manipur,2022-10-11,Consumer
264,Priya Singh,Female,59,Jaipur,Maharashtra,2022-10-13,Small Business
265,Rohan Patel,Male,43,Pune,Telangana,2023-10-15,Consumer
266,Arjun Gupta,Other,23,Chennai,Maharashtra,2022-08-25,Premium
267,Rahul Mehta,Female,61,Delhi,Tamil Nadu,2023-01-29,Consumer
268,Arjun Patel,Female,52,Delhi,Maharashtra,2022-12-04,Consumer
269,Arjun Patel,Male,54,Mumbai,Tamil Nadu,2024-05-16,Small Business
270,Kavya Roy,Female,62,Jaipur,Assam,2022-09-02,Consumer
271,Kabir Gupta,Female,50,Imphal,Manipur,2023-03-14,Consumer
272,Neha Brown,Female,56,Imphal,Maharashtra,2023-06-17,Consumer
273,Kabir Patel,Female,62,Guwahati,Delhi,2025-12-14,Consumer
274,Aarav Singh,Male,36,Jaipur,Rajasthan,2025-12-01,Consumer
275,Aarav Wilson,Male,26,Kolkata,Telangana,2024-05-17,Consumer
276,Kavya Smith,Male,32,Bengaluru,Delhi,2024-01-20,Consumer
277,Kabir Gupta,Male,40,Kolkata,Tamil Nadu,2024-07-30,Consumer
278,Aarav Kumar,Female,40,Guwahati,Telangana,2022-02-22,Consumer
279,Rahul Kumar,Female,48,Imphal,West Bengal,2025-05-17,Consumer
280,Rohan Das,Male,36,Kolkata,Karnataka,2024-09-19,Consumer
281,Priya Das,Male,29,Hyderabad,Maharashtra,2022-05-17,Consumer
282,Sara Das,Female,62,Pune,Maharashtra,2022-04-29,Consumer
283,Sara Wilson,Female,57,Pune,Telangana,2023-02-04,Consumer
284,Vivaan Das,Female,34,Kolkata,West Bengal,2024-06-23,Consumer
285,Aarav Patel,Male,49,Kolkata,West Bengal,2022-10-21,Small Business
286,Meera Das,Male,20,Jaipur,Tamil Nadu,2024-05-13,Consumer
287,Aditya Taylor,Male,67,Guwahati,Telangana,2023-09-12,Small Business
288,Aditya Smith,Male,34,Jaipur,Delhi,2025-02-23,Consumer
289,Kavya Gupta,Female,41,Delhi,Assam,2025-09-14,Consumer
290,Aditya Sharma,Female,33,Guwahati,Manipur,2025-11-27,Consumer
291,Meera Roy,Female,26,Kolkata,Karnataka,2024-12-01,Consumer
292,Aditi Mehta,Female,18,Delhi,Rajasthan,2023-05-19,Consumer
293,Arjun Smith,Male,58,Guwahati,Telangana,2024-06-28,Corporate
294,Sara Das,Male,69,Kolkata,Rajasthan,2022-12-27,Premium
295,Priya Singh,Female,38,Delhi,Rajasthan,2022-11-03,Consumer
296,Vikram Mehta,Male,67,Mumbai,Assam,2023-01-31,Small Business
297,Vikram Kumar,Female,43,Delhi,Manipur,2023-01-16,Consumer
298,Aarav Roy,Female,37,Guwahati,Telangana,2024-06-09,Consumer
299,Meera Patel,Male,24,Delhi,Maharashtra,2025-04-19,Corporate
300,Kabir Das,Male,43,Delhi,Delhi,2022-11-04,Consumer
301,Rohan Taylor,Male,54,Pune,Telangana,2024-04-08,Consumer
302,Aarav Roy,Female,39,Jaipur,West Bengal,2023-06-27,Corporate
303,Rohan Mehta,Male,46,Chennai,Telangana,2023-12-12,Small Business
304,Kabir Gupta,Male,66,Guwahati,Tamil Nadu,2025-09-18,Small Business
305,Aarav Smith,Male,32,Mumbai,Karnataka,2025-11-26,Small Business
306,Priya Taylor,Female,55,Imphal,Karnataka,2023-04-11,Corporate
307,Aditya Kumar,Male,58,Kolkata,Rajasthan,2024-10-08,Consumer
308,Rohan Patel,Male,67,Guwahati,Karnataka,2024-12-04,Consumer
309,Vikram Wilson,Male,34,Guwahati,Rajasthan,2022-04-24,Consumer
310,Priya Taylor,Female,18,Bengaluru,Karnataka,2023-08-17,Consumer
311,Aditya Smith,Male,57,Guwahati,Karnataka,2024-12-23,Consumer
312,Sara Patel,Female,54,Imphal,Telangana,2024-08-29,Premium
313,Ananya Wilson,Female,33,Imphal,Rajasthan,2025-08-05,Corporate
314,Vikram Patel,Female,37,Pune,Maharashtra,2025-10-23,Consumer
315,Neha Gupta,Female,27,Kolkata,West Bengal,2024-10-16,Premium
316,Arjun Singh,Male,35,Chennai,Delhi,2022-12-28,Consumer
317,Rohan Smith,Female,69,Bengaluru,Assam,2022-09-24,Small Business
318,Sara Das,Male,20,Mumbai,Rajasthan,2022-05-31,Consumer
319,Neha Brown,Male,19,Imphal,Telangana,2022-04-19,Consumer
320,Kavya Gupta,Female,42,Imphal,Tamil Nadu,2024-06-07,Consumer
321,Priya Smith,Female,59,Kolkata,Manipur,2023-05-14,Small Business
322,Aditya Sharma,Female,53,Delhi,Karnataka,2024-01-09,Small Business
323,Aditi Gupta,Male,41,Guwahati,Maharashtra,2025-09-12,Consumer
324,Sara Patel,Male,24,Chennai,Rajasthan,2025-02-23,Consumer
325,Vivaan Wilson,Male,26,Kolkata,Assam,2022-01-12,Corporate
326,Rohan Mehta,Male,59,Imphal,Maharashtra,2022-02-13,Consumer
327,Aditi Das,Female,42,Imphal,Rajasthan,2023-11-27,Consumer
328,Aditya Smith,Male,38,Pune,Rajasthan,2024-07-07,Corporate
329,Kavya Kumar,Female,24,Mumbai,Rajasthan,2022-08-17,Small Business
330,Vivaan Roy,Male,50,Hyderabad,Maharashtra,2023-09-15,Consumer
331,Aarav Gupta,Female,48,Pune,Telangana,2022-08-01,Corporate
332,Aditi Wilson,Female,26,Delhi,Rajasthan,2024-03-27,Consumer
333,Aarav Das,Male,42,Jaipur,Delhi,2022-01-04,Corporate
334,Vivaan Taylor,Male,42,Imphal,West Bengal,2024-06-29,Small Business
335,Priya Gupta,Female,30,Pune,Delhi,2025-01-20,Consumer
336,Aditi Das,Male,37,Jaipur,Karnataka,2025-03-12,Consumer
337,Sara Roy,Male,32,Mumbai,Rajasthan,2024-05-19,Consumer
338,Arjun Smith,Female,21,Jaipur,Rajasthan,2024-07-10,Small Business
339,Meera Roy,Female,40,Imphal,Karnataka,2023-08-15,Corporate
340,Rahul Brown,Male,39,Hyderabad,Karnataka,2025-08-24,Small Business
341,Aditi Kumar,Male,20,Bengaluru,Rajasthan,2023-07-18,Corporate
342,Aditya Kumar,Male,69,Kolkata,Delhi,2024-01-14,Consumer
343,Neha Sharma,Female,59,Pune,Karnataka,2025-01-20,Corporate
344,Priya Patel,Female,47,Pune,Assam,2022-01-08,Consumer
345,Rahul Mehta,Male,24,Jaipur,Delhi,2025-07-11,Small Business
346,Vikram Das,Male,42,Chennai,Rajasthan,2022-08-30,Premium
347,Aditya Roy,Female,54,Guwahati,Telangana,2023-07-13,Consumer
348,Rahul Roy,Male,62,Bengaluru,Delhi,2025-01-12,Small Business
349,Isha Kumar,Female,57,Bengaluru,West Bengal,2025-04-21,Premium
350,Aditi Brown,Male,24,Delhi,Tamil Nadu,2025-12-11,Consumer
351,Isha Mehta,Female,66,Kolkata,Karnataka,2023-04-24,Small Business
352,Vikram Kumar,Male,53,Hyderabad,Tamil Nadu,2022-01-25,Consumer
353,Neha Singh,Female,53,Delhi,Rajasthan,2023-06-27,Consumer
354,Neha Mehta,Other,58,Hyderabad,Delhi,2023-07-17,Small Business
355,Kavya Singh,Male,26,Chennai,Maharashtra,2023-07-03,Consumer
356,Aditi Brown,Male,27,Guwahati,West Bengal,2025-07-04,Small Business
357,Vivaan Mehta,Male,40,Bengaluru,Delhi,2023-01-05,Corporate
358,Isha Brown,Male,64,Mumbai,Maharashtra,2022-01-30,Premium
359,Neha Gupta,Female,50,Mumbai,Maharashtra,2023-03-22,Consumer
360,Kavya Singh,Female,32,Pune,Delhi,2025-10-13,Consumer
